BUS,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
19,0.00558,0.0054,0.00522,0.00513,0.00522,0.00558,0.00648,0.00738,0.0081,0.00828,0.0081,0.00792,0.00774,0.00756,0.00765,0.0081,0.009,0.0099,0.01062,0.0108,0.01008,0.00855,0.00702,0.00612
20,0.00558,0.0054,0.00522,0.00513,0.00522,0.00558,0.00648,0.00738,0.0081,0.00828,0.0081,0.00792,0.00774,0.00756,0.00765,0.0081,0.009,0.0099,0.01062,0.0108,0.01008,0.00855,0.00702,0.00612
21,0.00558,0.0054,0.00522,0.00513,0.00522,0.00558,0.00648,0.00738,0.0081,0.00828,0.0081,0.00792,0.00774,0.00756,0.00765,0.0081,0.009,0.0099,0.01062,0.0108,0.01008,0.00855,0.00702,0.00612
22,0.00558,0.0054,0.00522,0.00513,0.00522,0.00558,0.00648,0.00738,0.0081,0.00828,0.0081,0.00792,0.00774,0.00756,0.00765,0.0081,0.009,0.0099,0.01062,0.0108,0.01008,0.00855,0.00702,0.00612
23,0.00558,0.0054,0.00522,0.00513,0.00522,0.00558,0.00648,0.00738,0.0081,0.00828,0.0081,0.00792,0.00774,0.00756,0.00765,0.0081,0.009,0.0099,0.01062,0.0108,0.01008,0.00855,0.00702,0.00612
24,0.02604,0.0252,0.02436,0.02394,0.02436,0.02604,0.03024,0.03444,0.0378,0.03864,0.0378,0.03696,0.03612,0.03528,0.0357,0.0378,0.042,0.0462,0.04956,0.0504,0.04704,0.0399,0.03276,0.02856
25,0.02604,0.0252,0.02436,0.02394,0.02436,0.02604,0.03024,0.03444,0.0378,0.03864,0.0378,0.03696,0.03612,0.03528,0.0357,0.0378,0.042,0.0462,0.04956,0.0504,0.04704,0.0399,0.03276,0.02856
26,0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
27,0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
28,0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
29,0.00744,0.0072,0.00696,0.00684,0.00696,0.00744,0.00864,0.00984,0.0108,0.01104,0.0108,0.01056,0.01032,0.01008,0.0102,0.0108,0.012,0.0132,0.01416,0.0144,0.01344,0.0114,0.00936,0.00816
30,0.0124,0.012,0.0116,0.0114,0.0116,0.0124,0.0144,0.0164,0.018,0.0184,0.018,0.0176,0.0172,0.0168,0.017,0.018,0.02,0.022,0.0236,0.024,0.0224,0.019,0.0156,0.0136
31,0.0093,0.009,0.0087,0.00855,0.0087,0.0093,0.0108,0.0123,0.0135,0.0138,0.0135,0.0132,0.0129,0.0126,0.01275,0.0135,0.015,0.0165,0.0177,0.018,0.0168,0.01425,0.0117,0.0102
32,0.01302,0.0126,0.01218,0.01197,0.01218,0.01302,0.01512,0.01722,0.0189,0.01932,0.0189,0.01848,0.01806,0.01764,0.01785,0.0189,0.021,0.0231,0.02478,0.0252,0.02352,0.01995,0.01638,0.01428
33,0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
